"Design#", "Name", "CoD", "CoL", "CoM Rocket", "Performance", "Angle Of Attack (deg)"
1, "Design 1", 0.057013480151246326, 0.00062936264781789152, -0.00049681953298932359, 1, 0
2, "Design 2", 0.057007919949857828, -0.025051568997649796, 0.0027175992033686546, 1, 1
3, "Design 3", 0.057111376092206262, -0.052857602487343378, 0.0061604240592188393, 1, 2
4, "Design 4", 0.057546665307116995, -0.082997027120550779, 0.0102477427907098, 1, 3
5, "Design 5", 0.058457892340733383, -0.11506993981233021, 0.015001717019454006, 1, 4
6, "Design 6", 0.059282933256393722, -0.14829288650098588, 0.020004760476763393, 1, 5
7, "Design 7", 0.059901698959065684, -0.18215840128112729, 0.025209535041176779, 1, 6
8, "Design 8", 0.060304510480958563, -0.21714014049568095, 0.030662770015135492, 1, 7
9, "Design 9", 0.060513233016961536, -0.25315690153363335, 0.036413335306190252, 1, 8
10, "Design 10", 0.060511867705320979, -0.29080558359823094, 0.042442969556391409, 1, 9
11, "Design 11", 0.060016330972919481, -0.33066170988151056, 0.049157386168273587, 1, 10
12, "Design 12", 0.059787975883648703, -0.36857278376466052, 0.054967738748611147, 1, 11
13, "Design 13", 0.059408295196158367, -0.40632407511195212, 0.060494522771279653, 1, 12
14, "Design 14", 0.058998187355325575, -0.44558666906070443, 0.066578237133176246, 1, 13
15, "Design 15", 0.058433018334194495, -0.48517438310166983, 0.072367351129305535, 1, 14
16, "Design 16", 0.058768052334409675, -0.51572309657270099, 0.075051054526005911, 1, 15
17, "Design 17", 0.059011511718419965, -0.5481161888130357, 0.07832460102214947, 1, 16
18, "Design 18", 0.059427618481273273, -0.57917000161792709, 0.081113750119955377, 1, 17
19, "Design 19", 0.059739658831983837, -0.61129769480018736, 0.084200746819025132, 1, 18
20, "Design 20", 0.060024335346198422, -0.64590954932818267, 0.087601483429607982, 1, 19
21, "Design 21", 0.060641592507493965, -0.67919529332453765, 0.090785860594124287, 1, 20
22, "Design 22", 0.061215974318566319, -0.71373915527798271, 0.094123598347590459, 1, 21
23, "Design 23", 0.061450060713055116, -0.75026463807161481, 0.097959839365535331, 1, 22
24, "Design 24", 0.061708237272589672, -0.7848425889506272, 0.10135374859109128, 1, 23
25, "Design 25", 0.061990958474797866, -0.82229405683627366, 0.10541064483243995, 1, 24
26, "Design 26", 0.062221712538705121, -0.85715862465337911, 0.10870090925634529, 1, 25
27, "Design 27", 0.061936651351652258, -0.89564352977501516, 0.11293523210651789, 1, 26
28, "Design 28", 0.062015927587708526, -0.92916554247337035, 0.1156732840281757, 1, 27
29, "Design 29", 0.061455374115261821, -0.96990760479921301, 0.11990861920229218, 1, 28
30, "Design 30", 0.061303862168474776, -0.9996596889055368, 0.12156801545564304, 1, 29
31, "Design 31", 0.060840820782568653, -1.0383440960400458, 0.12552262128321273, 1, 30
32, "Design 32", 0.059801871017967002, -1.0739624474156446, 0.12861121597257702, 1, 31
33, "Design 33", 0.059000697319097843, -1.1069475034849887, 0.13132896850372777, 1, 32
34, "Design 34", 0.062377877423089263, -1.12027833200477, 0.12568425941504269, 1, 33
35, "Design 35", 0.062798599040623571, -1.1589876938914208, 0.12871512321161283, 1, 34
36, "Design 36", 0.063238699468237874, -1.1960452017258993, 0.1315737385628277, 1, 35
37, "Design 37", 0.062568546516073437, -1.2336620000523733, 0.13547535725774718, 1, 36
38, "Design 38", 0.061680726641162816, -1.2665387579865122, 0.1382351407979765, 1, 37
39, "Design 39", 0.060330278729441252, -1.3029207972266159, 0.1414182191548598, 1, 38
40, "Design 40", 0.059528893077577819, -1.3352379092014919, 0.14334634431343099, 1, 39
41, "Design 41", 0.057677059131668137, -1.376350742989521, 0.1451067120526035, 1, 40
42, "Design 42", 0.055759928629095096, -1.4094515317679037, 0.14783758196195265, 1, 41
43, "Design 43", 0.05500275659579125, -1.4365734195597135, 0.14984254084912615, 1, 42
44, "Design 44", 0.052904071441879988, -1.4741232822953876, 0.15336561408206253, 1, 43
45, "Design 45", 0.051822585931204729, -1.5120789381440582, 0.15472808707555144, 1, 44
46, "Design 46", 0.04993831949374522, -1.5396694539534632, 0.15870422151042674, 1, 45
47, "Design 47", 0.048298963424397726, -1.5767700982126356, 0.16178913623831756, 1, 46
48, "Design 48", 0.046882706226592546, -1.6137147123972355, 0.1646125940207413, 1, 47
49, "Design 49", 0.044934662073466018, -1.6456030637949823, 0.16785229376470243, 1, 48
50, "Design 50", 0.042935136768748376, -1.6796722038478487, 0.17042926617779885, 1, 49
