Angle of Attack (deg),AoA AJ DM,CoD,CoL,RA
90,0,0.118168814,-0.0009284385799,0.3216990877
89.5,0.5,0.05171630342,-0.01216774822,0.7351553262
89,1,0.03325144788,-0.01534941828,1.14855558
88.5,1.5,0.02458936483,-0.01672030392,1.561868366
88,2,0.01975029754,-0.01754755414,1.975062211
87.5,2.5,0.0166344492,-0.01812247073,2.388105646
87,3,0.01450025316,-0.01849178379,2.800967219
86.5,3.5,0.01296867665,-0.01915045069,3.213615486
86,4,0.01179598031,-0.01935979436,3.626019025
85.5,4.5,0.01100440977,-0.01959255811,4.038146428
85,5,0.0103269535,-0.01996868768,4.44996631
82.5,7.5,0.00881172986,-0.02119975056,6.503356211
80,10,0.008682445126,-0.02216227927,8.544366602
77.5,12.5,0.009115204058,-0.02261054102,10.56911231
75,15,0.009724007758,-0.02268091053,12.57373911
72.5,17.5,0.01036315855,-0.02242208911,14.55443108
70,20,0.01120316058,-0.02241062708,16.50741786
67.5,22.5,0.01197129259,-0.02213208279,18.42898184
65,25,0.01283279111,-0.02184570632,20.3154652
62.5,27.5,0.01367582862,-0.02151536498,22.16327692
60,30,0.0147427859,-0.02140933055,23.96889958
57.5,32.5,0.01572098398,-0.02104316944,25.72889608
55,35,0.01697687065,-0.02101893757,27.43991617
52.5,37.5,0.01799074735,-0.0205920231,29.09870281
50,40,0.01928897646,-0.02045032138,30.70209842
47.5,42.5,0.02078278234,-0.02041102363,32.24705084
45,45,0.02211943106,-0.02008900737,33.73061916
42.5,47.5,0.02327889246,-0.01954181094,35.14997934
40,50,0.02427753229,-0.01880563616,36.50242953
37.5,52.5,0.02536680796,-0.01808059239,37.78539527
35,55,0.02608440255,-0.01706534997,38.99643437
32.5,57.5,0.02673248475,-0.01593563397,40.13324153
30,60,0.02716321212,-0.01473600437,41.19365279
27.5,62.5,0.02782561967,-0.01365704052,42.17564959
25,65,0.02845910127,-0.01254779509,43.07736264
22.5,67.5,0.02867795181,-0.01117616965,43.89707549
20,70,0.02933545692,-0.01008363875,44.63322776
17.5001,72.4999,0.02967747397,-0.008748862754,45.28439381
15,75,0.03004510417,-0.007417631205,45.84940706
12.5,77.5,0.03028009756,-0.00588633121,46.32711902
10,80,0.03142931947,-0.004858050864,46.71664468
7.5,82.5,0.03187342574,-0.003538670243,47.01724256
5,85,0.03191503535,-0.002267622932,47.22834044
2.5,87.5,0.03188590017,-0.0009457199543,47.34953648
0,90,0.03137120163,0.0004183161452,47.3806
